time,mac,neighborMac,neighborFlag,rssi,numTxPackets,numTxFailures,numRxPackets,mote_board,ngbr_board,distance
1478116240,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-62,61,0,2,huron,huron,3.41503261698
1478116240,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-35,0,0,37,huron,huron,0.094935297966
1478117142,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-57,66,5,2,huron,huron,3.41503261698
1478117142,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-33,0,0,34,huron,huron,0.094935297966
1478118041,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-57,65,3,2,huron,huron,3.41503261698
1478118041,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-33,0,0,42,huron,huron,0.094935297966
1478118943,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-60,64,4,2,huron,huron,3.41503261698
1478118943,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-36,0,0,25,huron,huron,0.094935297966
1478119842,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-60,66,4,1,huron,huron,3.41503261698
1478119842,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-35,0,0,35,huron,huron,0.094935297966
1478120740,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-61,65,4,2,huron,huron,3.41503261698
1478120740,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-37,0,0,34,huron,huron,0.094935297966
1478121642,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-59,64,3,2,huron,huron,3.41503261698
1478121642,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-33,0,0,33,huron,huron,0.094935297966
1478122541,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-60,65,2,2,huron,huron,3.41503261698
1478122541,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-33,0,0,35,huron,huron,0.094935297966
1478123443,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-57,65,5,2,huron,huron,3.41503261698
1478123443,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-33,0,0,33,huron,huron,0.094935297966
1478124342,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-58,68,6,1,huron,huron,3.41503261698
1478124342,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-32,0,0,38,huron,huron,0.094935297966
1478125241,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-60,65,4,2,huron,huron,3.41503261698
1478125241,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-36,0,0,26,huron,huron,0.094935297966
1478126142,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-60,66,4,2,huron,huron,3.41503261698
1478126142,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-36,0,0,36,huron,huron,0.094935297966
1478127041,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-60,64,3,2,huron,huron,3.41503261698
1478127041,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-37,0,0,37,huron,huron,0.094935297966
1478127944,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-62,63,2,1,huron,huron,3.41503261698
1478127944,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-34,0,0,33,huron,huron,0.094935297966
1478128842,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-58,63,1,2,huron,huron,3.41503261698
1478128842,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-33,0,0,36,huron,huron,0.094935297966
1478129741,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-57,67,5,2,huron,huron,3.41503261698
1478129741,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-33,0,0,33,huron,huron,0.094935297966
1478130643,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-61,62,1,2,huron,huron,3.41503261698
1478130643,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-34,0,0,32,huron,huron,0.094935297966
1478131542,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-60,67,5,2,huron,huron,3.41503261698
1478131542,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-35,0,0,27,huron,huron,0.094935297966
1478132443,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-61,64,3,1,huron,huron,3.41503261698
1478132443,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-37,0,0,30,huron,huron,0.094935297966
1478133342,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-58,64,3,2,huron,huron,3.41503261698
1478133342,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-37,0,0,32,huron,huron,0.094935297966
1478134241,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-62,67,6,2,huron,huron,3.41503261698
1478134241,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-33,0,0,33,huron,huron,0.094935297966
1478135143,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-56,63,2,1,huron,huron,3.41503261698
1478135143,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-33,0,0,34,huron,huron,0.094935297966
1478136042,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-57,67,4,1,huron,huron,3.41503261698
1478136042,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-33,0,0,34,huron,huron,0.094935297966
