time,source,dest,direction,
1478811760,00-17-0d-00-00-58-f5-23,00-17-0d-00-00-58-eb-5b,2,
1478826160,00-17-0d-00-00-58-e9-cb,00-17-0d-00-00-58-f5-58,2,
1478833360,00-17-0d-00-00-58-e9-cb,00-17-0d-00-00-58-f5-58,2,
1479042162,00-17-0d-00-00-58-f9-c4,00-17-0d-00-00-58-f5-23,2,
1479063762,00-17-0d-00-00-58-f8-8f,00-17-0d-00-00-58-f5-23,2,
1479070962,00-17-0d-00-00-58-f9-c4,00-17-0d-00-00-58-f5-3c,2,
1479078162,00-17-0d-00-00-58-eb-64,00-17-0d-00-00-58-eb-67,2,
1479099763,00-17-0d-00-00-58-eb-67,00-17-0d-00-00-38-00-63,2,
1479114163,00-17-0d-00-00-58-f8-8f,00-17-0d-00-00-58-eb-67,2,
1479116721,00-17-0d-00-00-58-f5-3c,00-17-0d-00-00-30-5d-39,2,
1479118046,00-17-0d-00-00-58-eb-67,00-17-0d-00-00-58-eb-5b,2,
1479121363,00-17-0d-00-00-58-f8-8f,00-17-0d-00-00-58-eb-67,2,
1479128563,00-17-0d-00-00-58-f9-c4,00-17-0d-00-00-58-e9-cb,2,
1479142963,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-eb-67,2,
1479150163,00-17-0d-00-00-58-e9-ca,00-17-0d-00-00-58-f8-8f,2,
1479157363,00-17-0d-00-00-58-eb-67,00-17-0d-00-00-58-f5-58,2,
1479171763,00-17-0d-00-00-58-f9-c4,00-17-0d-00-00-58-eb-67,2,
1479178963,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,2,
1479193364,00-17-0d-00-00-58-eb-67,00-17-0d-00-00-58-f5-58,2,
1479236564,00-17-0d-00-00-58-f8-8f,00-17-0d-00-00-58-eb-67,2,
1479250964,00-17-0d-00-00-58-f8-8f,00-17-0d-00-00-58-eb-67,2,
1479258164,00-17-0d-00-00-58-f5-23,00-17-0d-00-00-58-eb-5b,2,
1479272564,00-17-0d-00-00-58-f4-f8,00-17-0d-00-00-58-eb-5b,2,
1479279764,00-17-0d-00-00-38-03-dd,00-17-0d-00-00-58-f3-17,2,
1479286964,00-17-0d-00-00-58-eb-5b,00-17-0d-00-00-58-f5-58,2,
1479293277,00-17-0d-00-00-58-f3-17,00-17-0d-00-00-30-5d-39,2,
1479301365,00-17-0d-00-00-58-f4-f8,00-17-0d-00-00-58-eb-5b,2,
1479305205,00-17-0d-00-00-30-5d-39,00-17-0d-00-00-58-f5-3c,3,
1479315765,00-17-0d-00-00-58-f9-c4,00-17-0d-00-00-38-03-dd,2,
1479317713,00-17-0d-00-00-58-f3-17,00-17-0d-00-00-38-00-63,2,
1479330165,00-17-0d-00-00-58-f4-f8,00-17-0d-00-00-58-eb-5b,2,
1479337365,00-17-0d-00-00-58-f9-c4,00-17-0d-00-00-58-f8-8f,2,
1479351765,00-17-0d-00-00-58-eb-5b,00-17-0d-00-00-58-f5-58,2,
1479387765,00-17-0d-00-00-58-f5-23,00-17-0d-00-00-58-eb-67,2,
