time,source,dest,direction,
1466592744,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466594909,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,2,
1466599878,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466600777,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,2,
1466602326,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466608852,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466609329,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466610524,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,2,
1466611808,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466612988,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466615513,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466616863,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,2,
1466620570,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466622553,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466625287,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466626070,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466627875,00-17-0d-00-00-60-03-82,00-17-0d-00-00-30-60-ef,2,
1466630935,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,2,
1466633271,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466635740,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466639576,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466640472,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466641763,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466645328,00-17-0d-00-00-b0-00-cc,00-17-0d-00-00-60-3c-d9,2,
1466646669,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466649064,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466649894,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466651321,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466654805,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466656301,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466661021,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466662177,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466664573,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466667079,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466670519,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466671682,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466677672,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466678874,00-17-0d-00-00-60-3c-d9,00-17-0d-00-00-b0-00-cc,3,
1466685475,00-17-0d-00-00-60-06-27,00-17-0d-00-00-b0-00-87,2,
